,PLAYER_NAME,TEAM_ABBREVIATION,NPTwAO/G,PGen/G,IOEwAO,Eff_Factor,Pos_Weight,Score
0,Aaron Gordon,ORL,21.27,24.21290322580645,1.1578330351082864,1.0648427002108187,0.9086533210963849,27.05144200194055
1,Aaron Holiday,IND,17.56,19.511831462030667,1.1363307183520612,1.0450673229835266,0.8613330503453661,19.21407255184574
2,Abdel Nader,OKC,7.16,8.168514412416851,1.1489062312881722,1.0566328447343998,0.5531684061019251,5.089295929484073
3,Adam Mokoka,CHI,3.07,4.045454545454546,1.318127962085308,1.2122636820766057,0.2920674908276051,1.5895993075799453
4,Admiral Schofield,WAS,3.96,4.354723707664885,1.1174640929466657,1.0277159538902543,0.3595220934962151,1.6307808102795038
5,Al Horford,PHI,17.59,22.571611122469847,1.3079899197418088,1.2029398676261969,0.8618003049982824,36.615166171514254
6,Al-Farouq Aminu,ORL,8.04,7.633333333333334,0.9761295822676898,0.8977325992779029,0.5952891982303782,3.6912149840761517
7,Alec Burks,PHI,20.02,23.073936480186482,1.1691077903364868,1.0752119334572083,0.894859267883719,26.145650479330058
8,Alen Smailagic,GSW,4.74,6.642857142857142,1.4014466546112117,1.2888907075950309,0.41333343896172503,4.744889981157359
9,Alex Caruso,LAL,9.66,10.613196942446043,1.1257700283687129,1.0353548054641881,0.6627224736358943,7.646215168517209
10,Alex Len,SAC,7.73,10.50566037735849,1.3685725266573114,1.2586568361161148,0.5809245712028248,11.21350127978802
11,Alfonzo McKinnie,CLE,5.39,5.658333333333332,1.0694260694260695,0.9835360616887174,0.4547060829813765,2.500501243732112
12,Alize Johnson,IND,2.2,2.9411764705882355,1.3736263736263736,1.2633047878412833,0.21926741196458577,0.8567596759791656
13,Allen Crabbe,MIN,7.27,7.203453453453452,1.0013817920716028,0.9209567002134701,0.5586643721099092,3.442776890796218
14,Allonzo Trier,NYK,8.46,9.754310344827587,1.1593871249795071,1.0662719747302543,0.6139687090885622,6.964642312225068
15,Amile Jefferson,ORL,0.9,1.1666666666666667,1.2995049504950495,1.1951363611706398,0.09630127159804047,0.11578240444854365
16,Amir Coffey,LAC,5.1,5.611111111111112,1.136875281404773,1.0455681499368965,0.4366208069904701,2.6502452685012896
17,Andre Drummond,CLE,20.13,25.071673085151907,1.2587068118074076,1.1576148888629672,0.8961524841595078,37.33338355785558
18,Andre Iguodala,MIA,10.74,11.89383294301327,1.1584902217220718,1.0654471054636887,0.7013133517173051,9.808681730343217
19,Andre Roberson,OKC,4.7,4.285714285714286,0.9124087591240876,0.8391294576172027,0.4106872485285886,1.3927094292450435
20,Andrew Wiggins,GSW,29.72,32.80747728860936,1.1135718789033424,1.0241363395710765,0.9646976271643533,34.431352479713816
21,Anfernee Simons,POR,11.54,12.200539083557949,1.06957937061549,0.9836770506288651,0.7270231993693128,8.515190732366582
22,Ante Zizic,CLE,3.88,5.090909090909091,1.3276434329065907,1.2210149262852876,0.35373124423441027,2.580364651965158
23,Anthony Davis,LAL,28.05,35.39784946236559,1.2737473399110075,1.1714474502710428,0.9574005081573955,62.46527667244052
24,Anthony Tolliver,MEM,5.18,5.866666666666666,1.1451826613666476,1.0532083300337207,0.44166892970234506,2.846905725263177
25,Antonius Cleveland,DAL,1.75,1.181818181818182,0.6770833333333334,0.6227039850067659,0.17872146589856086,0.19831442609629799
26,Anzejs Pasecniks,WAS,5.98,7.592592592592593,1.293212212969972,1.1893490192873648,0.4897280138270196,5.458157279640421
27,Aron Baynes,PHX,12.24,15.995859213250515,1.3121603260869563,1.2067753314788308,0.7476972825817745,21.21741350161965
28,Austin Rivers,HOU,12.54,14.317276516905975,1.160620384280204,1.0674061859023267,0.7560711592601876,12.951952011504007
29,Avery Bradley,LAL,11.07,12.114167406092873,1.1062960393964345,1.0174448526710573,0.7121997574853416,9.011421194016567
30,BJ Johnson,ORL,4.74,3.7,0.7974137931034483,0.7333702104588967,0.41333343896172503,1.0789535775874342
31,Bam Adebayo,MIA,23.29,30.25705019740553,1.3194440088991437,1.2134740317560115,0.9272236390964756,58.09370868318597
32,Ben McLemore,HOU,10.12,12.623537837192648,1.2491932687192366,1.1488654175632191,0.6797341636331968,12.515493141130595
33,Ben Simmons,PHI,32.9,39.96015706617674,1.2358006818720833,1.1365484444689105,0.9753156969954059,64.48698928849642
34,Bismack Biyombo,CHA,6.9,9.909503843466108,1.4530868296361878,1.3363834476927532,0.5399043303814541,11.572417595853631
35,Blake Griffin,DET,25.17,24.154040404040398,0.9745645280927268,0.8962932410430707,0.9410981858911589,16.338016715722055
